profession,title,link,date,location,workload,emp_type,company
data%20scientist,Responsable des données de comptage à 100%,https://www.jobs.ch/en/vacancies/detail/bdcfd2f0-b01d-4f03-afa5-fff7557f9330/,3 days ago,Nyon,100%,Unlimited employment,Ville de Nyon
data%20scientist,Data Scientist Asset Finance & Information (alle),https://www.jobs.ch/en/vacancies/detail/00aed0e6-ee7e-49d1-8045-08d88f37c81d/,2 days ago,Ostermundigen,80 – 100%,Unlimited employment,BKW Energie AG
data%20scientist,Digital Biomarker - Data Scientist (m/f/d) (LSW) - BS,https://www.jobs.ch/en/vacancies/detail/990475c3-0da6-45ea-a51d-43a02eb70c77/,5 hours ago,Basel,80 – 100%,Temporary,Manpower SA
data%20scientist,Product Development Intern (f/m/d),https://www.jobs.ch/en/vacancies/detail/b2aee1dc-6c02-4d11-a756-544faaccee74/,Last month,Baden,100%,Temporary,Axpo Group
data%20scientist,BAUINGENIEUR*IN – TECHNISCHE*R LEITER*IN - BERN,https://www.jobs.ch/en/vacancies/detail/af49f05a-ed80-41a6-b714-346dc4aa7de5/,Last month,Bern,80 – 100%,Unlimited employment,VSL (Schweiz) AG
data%20scientist,Full Stack Software Engineer - Java 80-100%,https://www.jobs.ch/en/vacancies/detail/702b44ce-899c-427c-a3f9-496824deda5d/,11 hours ago,Zollikofen,80 – 100%,Unlimited employment,Xovis AG
data%20scientist,Analytical Cloud Software Engineer (all genders),https://www.jobs.ch/en/vacancies/detail/a487f9b3-279d-489f-bffa-0f743b10ebc0/,3 days ago,Winterthur,80 – 100%,Unlimited employment,AXA
data%20scientist,Data Engineer (m/f/d) - 100%,https://www.jobs.ch/en/vacancies/detail/c54a3bfd-110d-49a5-b143-4bcacf471a93/,Yesterday,Baar ZG,5%,Unlimited employment,ITech Consult AG
data%20scientist,Scientist Extractables and Leachables (LC-MS and GC-MS),https://www.jobs.ch/en/vacancies/detail/387c59cc-0786-40ab-b849-e30297c81e34/,13 hours ago,Kaiseraugst,100%,Unlimited employment,Solvias AG
data%20scientist,Business Data Specialist,https://www.jobs.ch/en/vacancies/detail/5da3cfe7-b0ee-4725-9f8c-2f89707eb6c2/,Yesterday,Chavornay,100%,Unlimited employment,SICPA
data%20scientist,Laboratory Technician/Research Scientist (m/f/d) in Disease Control Micro Profiling Screening,https://www.jobs.ch/en/vacancies/detail/36ffe8e3-de17-4caa-b045-b36eddd09c83/,3 days ago,Basel,100%,Unlimited employment,Syngenta
data%20scientist,Data Rule Manager (w/m/d),https://www.jobs.ch/en/vacancies/detail/a0d14834-e4c8-4542-950f-806d3ebd967a/,Yesterday,Zürich,80 – 100%,Temporary,M-Industrie
data%20scientist,Scientific Researcher Position (80%),https://www.jobs.ch/en/vacancies/detail/ef2e99e6-4e26-49a3-a6cc-f148fb003856/,2 days ago,Sion,80%,Temporary,Haute Ecole d'Ingénierie
data%20scientist,PhD student on enzymatic triggered biocomposite assembly,https://www.jobs.ch/en/vacancies/detail/ea4af159-05b8-4bfd-a33b-dfde6fd60812/,2 days ago,Dübendorf,100%,Temporary,EMPA
data%20scientist,Lab Specialist – Infectious Disease & Oncology Diagnostics,https://www.jobs.ch/en/vacancies/detail/65f32d7a-871d-4bbb-98e4-714f17ad82fc/,3 days ago,Rotkreuz,100%,Temporary,ELAN Personal AG
data%20scientist,Pricing & Data Analyst (m/w/d) - Pensum 50%,https://www.jobs.ch/en/vacancies/detail/46607273-f16b-4abc-859b-30aee20a4a39/,2 weeks ago,Reinach BL,50%,Unlimited employment,Montagetechnik BERNER AG
data%20scientist,Senior Data Analyst (m/w/d) 80-100%,https://www.jobs.ch/en/vacancies/detail/ece83ac1-bf77-4243-a7da-4d7b9b07b81b/,2 weeks ago,Volketswil,80 – 100%,Unlimited employment,blue Entertainment AG
data%20scientist,SNSF-funded scientific research position in chemometrics or computational biology,https://www.jobs.ch/en/vacancies/detail/02f30ede-a4bb-4ab4-828c-e5f62f039c8d/,Last week,Berne,100%,Temporary,INSELSPITAL
